Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL65892,,None,320.4,0,2.51,22,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,Ki,'=',5.8,nM,8.24,,,UO_0000065,25.71,0.47,5.73,16.42,0,CHEMBL761788,Inhibitory activity against human full length Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1145995,1,Scientific Literature,J Med Chem,2003,None,,
CHEMBL395092,,None,160.18,0,1.23,22,Cc1nc2ccccc2c(=O)[nH]1,IC50,'=',5600,nM,5.25,,,UO_0000065,32.79,0.6,4.02,11.48,0,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134673,1,Scientific Literature,J Med Chem,2001,None,,
CHEMBL338567,,None,166.14,0,0.69,14,NC(=O)c1cccc([N+](=O)[O-])c1,IC50,'=',160000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134673,1,Scientific Literature,J Med Chem,2001,None,,
CHEMBL2419696,,None,443.91,0,3.68,33,COc1cc(Cl)c(C#N)cc1C(=O)NCCN1CCC(C(=O)c2ccc(F)cc2)CC1,IC50,'>',19000,nM,,,,UO_0000065,,,,,0,CHEMBL2422478,Inhibition of PARP1 (unknown origin) assessed as nicotinamide concentration by LC-MS analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2417384,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL3765611,,None,432.47,0,4.56,32,CN(C)Cc1ccc(C2Nc3cc(F)cc4c(=O)[nH]nc(c34)C2c2ccc(F)cc2)cc1,IC50,'=',2.63,nM,8.58,,,UO_0000065,19.84,0.37,4.02,14.06,0,CHEMBL3767923,Inhibition of human PARP1 using [3H]NAD as substrate after 1 min by microplate scintillation counting analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3763037,1,Scientific Literature,J Med Chem,2016,None,,
CHEMBL2414051,,None,188.23,0,1.67,22j,CCc1cc2c(N)cccc2c(=O)[nH]1,IC50,'=',490,nM,6.31,,,UO_0000065,33.52,0.62,4.64,10.72,0,CHEMBL2415549,Inhibition of human PARP-1 assessed as synthesis of [3H]-ADP-ribose polymers from [3H]-NAD+ by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2413011,1,Scientific Literature,Bioorg Med Chem,2013,None,,
CHEMBL2407986,,None,438.53,0,2.4,10p,CNC(=O)c1ccc(N2CCN(Cc3cc4c(c(OC)c3)OC(C)C(=O)N4)CC2)c(C)c1,EC50,'=',100000,nM,4,,,UO_0000065,9.12,0.17,1.6,4.81,0,CHEMBL2412861,Inhibition of PARP1 in human Jurkat cells assessed as reduction of cell viability after 96 hrs by MTS assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3307526,,
CHEMBL2407991,,None,177.2,0,1.8,2g,CC1(C)Oc2ccccc2NC1=O,Kd,'>',500000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL2412863,Binding affinity to catalytic domain of human PARP1 after 5 mins by surface plasmon resonance assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
CHEMBL3959295,,None,335.38,0,3.44,BDBM213979,O=c1[nH]nc(Cc2ccc(F)c(-c3ccncc3)c2)c2c1CCCC2,Ki,'=',23,nM,7.64,,376186,UO_0000065,22.77,0.42,4.2,13.03,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3908435,,None,368.48,0,1.97,BDBM213988,CC(C)NCCNC(=O)c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1,Ki,'=',20,nM,7.7,,376195,UO_0000065,20.89,0.39,5.73,8.86,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3931910,,None,399.48,0,1.77,BDBM214058,Cn1cnc(S(=O)(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)c1,Ki,'=',703,nM,6.15,,376265,UO_0000065,15.4,0.3,4.38,5.61,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3910929,,None,413.57,0,4.89,BDBM214067,CC1CCCN1Cc1cccc(-c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)c1,Ki,'=',41,nM,7.39,,376274,UO_0000065,17.86,0.33,2.5,15.08,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3980226,,None,409.44,0,3.7,BDBM214094,O=C(Cc1cc(F)cc(F)c1)Nc1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1,Ki,'=',25,nM,7.6,,376301,UO_0000065,18.57,0.35,3.9,10.16,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3953004,,None,421.53,0,3.07,BDBM214105,Cc1ccnc(SCC(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)n1,Ki,'=',56,nM,7.25,,376312,UO_0000065,17.2,0.33,4.18,7.21,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3942436,,None,391.45,0,3.94,BDBM214117,Cc1ccc(F)cc1C(=O)Nc1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1,Ki,'=',238,nM,6.62,,376324,UO_0000065,16.92,0.31,2.68,8.85,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3966254,,None,417.51,0,4.28,BDBM214126,CC(C)Oc1ccc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cc1,Ki,'=',185,nM,6.73,,376333,UO_0000065,16.13,0.3,2.45,8.01,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3898013,,None,431.54,0,4.67,BDBM214128,CCCCOc1ccc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cc1,Ki,'=',263,nM,6.58,,376335,UO_0000065,15.25,0.28,1.91,7.83,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3956961,,None,454.5,0,1.68,BDBM185802,O=C(c1ccc(F)cc1)C1CCN(C2CCN(Cc3nc4c(c(=O)[nH]3)COCC4)C2=O)CC1,IC50,'=',23600,nM,4.63,,335232,UO_0000065,10.18,0.19,2.95,4.84,0,CHEMBL3887381,Biochemical Assay: The autoparsylation activity of the TNKS 1/2 or PARP1/2 enzymes was measured by the liquid chromatography-mass spectrometry (LC/MS) detection of nicotinamide as readout. Compound activity in inhibiting the TNKS and PARP autoparsylation was evaluated by IC50 measurements. In the compound screening assays,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3931845,,None,424.5,0,1.78,BDBM185813,COc1ccc(C(=O)C2CCN(C3CCN(Cc4ncc(C)c(=O)[nH]4)C3=O)CC2)cc1,IC50,'>',19000,nM,,,335237,UO_0000065,,,,,0,CHEMBL3887381,Biochemical Assay: The autoparsylation activity of the TNKS 1/2 or PARP1/2 enzymes was measured by the liquid chromatography-mass spectrometry (LC/MS) detection of nicotinamide as readout. Compound activity in inhibiting the TNKS and PARP autoparsylation was evaluated by IC50 measurements. In the compound screening assays,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3899235,,None,337.38,0,1.89,BDBM213902,O=C1CCC(=O)N1c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1,Ki,'=',2,nM,8.7,,376590,UO_0000065,25.78,0.48,6.81,10.46,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3892324,,None,441.51,0,1.82,BDBM214407,CN(C)C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1,Ki,'=',0.9,nM,9.05,,376625,UO_0000065,20.49,0.39,7.23,10.09,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3906957,,None,481.57,0,2.74,BDBM214408,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCN(C(=O)N2CCCCC2)CC1,Ki,'=',1.9,nM,8.72,,376626,UO_0000065,18.11,0.34,5.98,9.73,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3945292,,None,484.58,0,0.95,BDBM214462,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(CCN2CCOCC2)CC1,Ki,'=',4,nM,8.4,,376694,UO_0000065,17.33,0.33,7.45,8.95,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3903770,,None,514.56,1,2.94,BDBM214501,O=C(c1ccc2cc[nH]c2c1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1,Ki,'=',1.6,nM,8.8,,376735,UO_0000065,17.09,0.32,5.86,7.7,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3972935,,None,491.52,0,2.08,BDBM214609,O=C(c1ccc(O)nc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1,Ki,'=',1.5,nM,8.82,,376847,UO_0000065,17.95,0.33,6.74,7.38,0,CHEMBL3888158,PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL81977,3-AMINOBENZAMIDE,None,136.15,0,0.37,3-AB,NC(=O)c1cccc(N)c1,IC50,'=',30000,nM,4.52,,,UO_0000065,33.22,0.62,4.15,6.54,1,CHEMBL828154,Inhibitory concentration against purified poly ADP-ribose polymerase-1 done in PARP inhibition assay kit,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141136,1,Scientific Literature,J Med Chem,2005,None,,
CHEMBL1445259,,None,283.24,0,1.59,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3905040,,None,329.34,0,0.83,BDBM207620,CC(C)(N)C(=O)N1CC2=NNC(=O)c3cc(F)cc4[nH]c(c2c34)C1,IC50,'=',12,nM,7.92,,366714,UO_0000065,24.05,0.45,7.09,7.65,1,CHEMBL3887989,PARP-1 Enzymatic Assay: PARP-1 enzymatic assay was conducted using a method modified from HT F Homogeneous PARP Inhibition Assay Kit (Trevigen). 8.8 nM PARP-1 was pre-incubated with different concentrations of compounds in a buffer containing 100 mM Tris-HCl pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3763705,,None,366.36,0,1.22,63,Cn1nccc1C1Nc2cc(F)cc3c(=O)[nH]nc(c23)C1c1ncnn1C,IC50,'=',2.88,nM,8.54,,,UO_0000065,23.31,0.43,7.32,8.03,0,CHEMBL3767923,Inhibition of human PARP1 using [3H]NAD as substrate after 1 min by microplate scintillation counting analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3763037,1,Scientific Literature,J Med Chem,2016,None,,
CHEMBL3764573,,None,347.46,0,3.25,22,Cc1cccc2c(=O)[nH]c(-c3ccc(CN4CC(N(C)C)C4)cc3)cc12,IC50,,,,,,Not Determined,,,,,,0,CHEMBL3766282,Inhibition of full length human recombinant PARP1 assessed as incorporation of biotinylated-NAD+ onto immobilised pseudo substrate histone preincubated for 10 mins followed by biotinylated-NAD+ addition measured after 1 hr by plate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3763048,1,Scientific Literature,Medchemcomm,2015,None,,
CHEMBL249813,,None,347.46,0,3.74,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3594137,,None,280.37,0,3.84,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4092324,,None,483.5,0,2.47,9a,CC(C)(C)OC(=O)N1CC[C@H](C(=O)Nc2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)cnc2F)C1,IC50,'=',39.8,nM,7.4,,,UO_0000065,15.31,0.29,4.93,5.85,0,CHEMBL4055845,Inhibition of recombinant human PARP-1 expressed in Escherichia coli BL21 (DE3) using sheared DNA as substrate in presence of biotinylated NAD after 1 hr by ELISA,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4052674,1,Scientific Literature,Bioorg Med Chem,2017,None,,
CHEMBL310120,,None,329.36,0,1.02,21a,N[C@@H](CCC(=O)N1CCc2nc(O)c3ccccc3c2C1)C(=O)O,IC50,'=',89,nM,7.05,,,UO_0000065,21.41,0.4,6.03,6.04,0,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136129,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,
CHEMBL189173,,None,312.11,0,1.99,26,O=C1NCCn2cc(I)c3cccc1c32,Ki,'=',304,nM,6.52,,,UO_0000065,20.88,0.59,4.53,19.15,0,CHEMBL826331,Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137224,1,Scientific Literature,J Med Chem,2004,None,,
CHEMBL187566,,None,290.32,0,2.62,35,O=C(c1ccccc1)c1cn2c3c(cccc13)C(=O)NCC2,Ki,'=',337,nM,6.47,,,UO_0000065,22.29,0.4,3.85,12.67,0,CHEMBL826331,Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137224,1,Scientific Literature,J Med Chem,2004,None,,
CHEMBL185702,,None,290.37,0,3.17,18,O=C1NCCn2c(CCc3ccccc3)cc3cccc1c32,Ki,'=',27,nM,7.57,,,UO_0000065,26.07,0.47,4.4,22.24,0,CHEMBL826331,Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137224,1,Scientific Literature,J Med Chem,2004,None,,
CHEMBL361447,,None,305.38,0,2.77,24,CNCc1ccc(-c2cc3cccc4c3n2CCNC4=O)cc1,Ki,'=',3.8,nM,8.42,,,UO_0000065,27.57,0.5,5.65,18.28,0,CHEMBL826331,Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137224,1,Scientific Literature,J Med Chem,2004,None,,
CHEMBL188989,,None,341.41,0,3.9,25,O=C1NCCn2c(-c3ccc(Cn4cccc4)cc3)cc3cccc1c32,Ki,'=',6.8,nM,8.17,,,UO_0000065,23.92,0.43,4.27,20.96,0,CHEMBL826331,Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137224,1,Scientific Literature,J Med Chem,2004,None,,
CHEMBL246565,,None,588.56,0,3.55,25,NC(CCCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1)C(=O)O.O=C(O)C(F)(F)F,IC50,'=',22,nM,7.66,,,UO_0000065,16.14,0.31,4.11,5.54,0,CHEMBL901413,Inhibition of human recombinant PARP1 in U251MG cells by CometAssay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-251,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138399,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307756,,
CHEMBL557175,,None,469.36,0,3.28,7,Br.NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,IC50,'=',42,nM,7.38,,,UO_0000065,18.99,0.36,4.1,7.31,0,CHEMBL901413,Inhibition of human recombinant PARP1 in U251MG cells by CometAssay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-251,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138399,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307756,,
CHEMBL3977473,,None,287.75,0,3.68,BDBM224635,O=c1[nH]nc2c3c(c(Cl)ccc13)NC1=C2CCCCC1,IC50,'=',52.5,nM,7.28,,392480,UO_0000065,25.3,0.5,3.6,12.6,0,CHEMBL3888362,HT F Homogeneous PARP Inhibition Assay: PARP1 enzymatic assay was conducted using a method modified from HT F Homogeneous PARP Inhibition Assay Kit (Trevigen). 8.8 nM PARP1 was pre-incubated with different concentrations of compounds in a buffer containing 100 mM Tris-HCl pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3893271,,None,364.45,0,2.97,BDBM224644,CC1(C)C(C(=O)N2CCC3=C(C2)Nc2cccc4c(=O)[nH]nc3c24)C1(C)C,IC50,'=',8,nM,8.1,,392489,UO_0000065,22.22,0.41,5.13,10.37,0,CHEMBL3888362,HT F Homogeneous PARP Inhibition Assay: PARP1 enzymatic assay was conducted using a method modified from HT F Homogeneous PARP Inhibition Assay Kit (Trevigen). 8.8 nM PARP1 was pre-incubated with different concentrations of compounds in a buffer containing 100 mM Tris-HCl pH 8.0,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2058918,,None,413.45,0,1.16,20m,CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1,Ki,'=',1.3,nM,8.89,,,UO_0000065,21.49,0.4,7.73,9.03,0,CHEMBL2061718,Inhibition of PARP1 using [3H]NAD+ after 1 hr by scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL2058693,,None,428.51,0,0.84,20e,CN1CCN(CCNC(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1,EC50,'=',290,nM,6.54,,,UO_0000065,15.26,0.29,5.7,7,0,CHEMBL2061719,Inhibition of PARP1 in H202-stimulated human C41 cells incubated for 30 mins prior to H2O2-treatment measured after 10 mins by FITC-based immunostaining,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL2058917,,None,439.49,0,1.55,20l,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C(=O)C2CC2)CC1,EC50,'=',22,nM,7.66,,,UO_0000065,17.42,0.33,6.11,7.78,0,CHEMBL2061719,Inhibition of PARP1 in H202-stimulated human C41 cells incubated for 30 mins prior to H2O2-treatment measured after 10 mins by FITC-based immunostaining,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL2058928,,None,449.49,0,1.61,20w,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ncccn2)CC1,EC50,'=',1,nM,9,,,UO_0000065,20.02,0.37,7.39,8.4,0,CHEMBL2061719,Inhibition of PARP1 in H202-stimulated human C41 cells incubated for 30 mins prior to H2O2-treatment measured after 10 mins by FITC-based immunostaining,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL4080163,,None,232.24,0,1.25,12,Cc1cccc2c(=O)[nH]c(CCC(=O)O)nc12,IC50,'=',6606.93,nM,5.18,,,UO_0000065,22.3,0.42,3.93,6.24,0,CHEMBL4003517,Inhibition of full length recombinant human N-terminal GST-tagged PARP1 expressed in Baculovirus infected Sf9 cells using TACS-Sapphire as substrate measured after 1 hr by colorimetric assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4002591,1,Scientific Literature,J Med Chem,2017,None,,
CHEMBL2058915,,None,439.54,0,2.56,20j,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C2CCCC2)CC1,Ki,'=',2.5,nM,8.6,,,UO_0000065,19.57,0.37,6.04,10.58,1,CHEMBL2061718,Inhibition of PARP1 using [3H]NAD+ after 1 hr by scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL2058917,,None,439.49,0,1.55,20l,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C(=O)C2CC2)CC1,Ki,'=',1.3,nM,8.89,,,UO_0000065,20.22,0.38,7.34,9.03,0,CHEMBL2061718,Inhibition of PARP1 using [3H]NAD+ after 1 hr by scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL2058928,,None,449.49,0,1.61,20w,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ncccn2)CC1,Ki,'=',0.4,nM,9.4,,,UO_0000065,20.91,0.39,7.79,8.77,0,CHEMBL2061718,Inhibition of PARP1 using [3H]NAD+ after 1 hr by scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL2058678,,None,274.3,0,1.44,8b,Nc1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F,EC50,,,,,,Not Determined,,,,,,0,CHEMBL2061719,Inhibition of PARP1 in H202-stimulated human C41 cells incubated for 30 mins prior to H2O2-treatment measured after 10 mins by FITC-based immunostaining,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL2058924,,None,448.5,0,2.22,20s,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ccncc2)CC1,EC50,'=',39,nM,7.41,,,UO_0000065,16.52,0.31,5.19,7.86,0,CHEMBL2061719,Inhibition of PARP1 in H202-stimulated human C41 cells incubated for 30 mins prior to H2O2-treatment measured after 10 mins by FITC-based immunostaining,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2057095,1,Scientific Literature,Bioorg Med Chem,2012,None,,
